TIME,CH2
-4.082,0.01
-4.081,0.01
-4.080,0.01
-4.079,0.01
-4.078,0.03
-4.077,-0.01
-4.076,0.01
-4.075,0.01
-4.074,0.01
-4.073,-0.01
-4.072,0.01
-4.071,0.01
-4.070,0.05
-4.069,0.01
-4.068,0.01
-4.067,0.01
-4.066,0.01
-4.065,0.01
-4.064,0.01
-4.063,0.01
-4.062,-0.01
-4.061,-0.01
-4.060,0.01
-4.059,-0.01
-4.058,-0.03
-4.057,-0.01
-4.056,0.01
-4.055,-0.03
-4.054,0.01
-4.053,0.01
-4.052,0.01
-4.051,0.01
-4.050,-0.01
-4.049,0.01
-4.048,0.01
-4.047,0.01
-4.046,0.01
-4.045,0.03
-4.044,0.01
-4.043,0.01
-4.042,-0.01
-4.041,0.01
-4.040,0.01
-4.039,0.01
-4.038,0.01
-4.037,0.01
-4.036,0.01
-4.035,0.01
-4.034,0.01
-4.033,0.03
-4.032,0.03
-4.031,0.01
-4.030,-0.01
-4.029,0.01
-4.028,0.01
-4.027,-0.01
-4.026,0.01
-4.025,0.01
-4.024,0.01
-4.023,0.01
-4.022,-0.01
-4.021,0.01
-4.020,0.01
-4.019,0.03
-4.018,0.01
-4.017,0.01
-4.016,0.01
-4.015,0.01
-4.014,0.01
-4.013,0.01
-4.012,0.01
-4.011,-0.01
-4.010,-0.01
-4.009,0.01
-4.008,-0.01
-4.007,0.01
-4.006,0.01
-4.005,0.01
-4.004,-0.01
-4.003,0.01
-4.002,0.01
-4.001,0.01
-4.000,0.01
-3.999,0.01
-3.998,0.01
-3.997,0.01
-3.996,0.01
-3.995,-0.01
-3.994,0.01
-3.993,0.01
-3.992,-0.01
-3.991,-0.01
-3.990,-0.01
-3.989,0.01
-3.988,0.01
-3.987,0.01
-3.986,0.01
-3.985,-0.01
-3.984,0.01
-3.983,0.01
-3.982,0.01
-3.981,0.01
-3.980,0.01
-3.979,0.01
-3.978,0.01
-3.977,0.01
-3.976,0.01
-3.975,0.01
-3.974,0.03
-3.973,0.01
-3.972,-0.01
-3.971,-0.01
-3.970,0.01
-3.969,0.01
-3.968,0.01
-3.967,0.03
-3.966,0.01
-3.965,0.01
-3.964,0.01
-3.963,0.01
-3.962,0.01
-3.961,0.01
-3.960,0.01
-3.959,-0.01
-3.958,-0.01
-3.957,0.01
-3.956,0.01
-3.955,-0.01
-3.954,0.01
-3.953,0.01
-3.952,0.01
-3.951,-0.01
-3.950,0.01
-3.949,0.01
-3.948,0.01
-3.947,0.01
-3.946,-0.01
-3.945,0.03
-3.944,0.01
-3.943,0.01
-3.942,0.01
-3.941,-0.01
-3.940,-0.01
-3.939,0.01
-3.938,0.01
-3.937,0.01
-3.936,0.01
-3.935,0.01
-3.934,0.01
