TIME,CH2
-4.09,0.02
-4.09,0
-4.09,0
-4.09,-0.02
-4.09,0
-4.09,0
-4.08,0
-4.08,0
-4.08,0
-4.08,0
-4.08,0
-4.08,0
-4.08,0.02
-4.08,0.02
-4.08,0
-4.08,0.02
-4.07,0
-4.07,0
-4.07,0.02
-4.07,0
-4.07,0
-4.07,-0.02
-4.07,0
-4.07,0
-4.07,0
-4.07,0
-4.06,0
-4.06,-0.02
-4.06,0
-4.06,0
-4.06,0
-4.06,0
-4.06,0
-4.06,0
-4.06,0
-4.06,-0.02
-4.05,0
-4.05,-0.02
-4.05,-0.02
-4.05,0
-4.05,0
-4.05,0
-4.05,0
-4.05,0
-4.05,0
-4.05,0.02
-4.04,0
-4.04,0
-4.04,0
-4.04,0
-4.04,0.02
-4.04,0
-4.04,0.02
-4.04,0
-4.04,0
-4.04,0
-4.03,-0.02
-4.03,0
-4.03,0
-4.03,-0.02
-4.03,0.02
-4.03,0.02
-4.03,0
-4.03,0
-4.03,0
-4.03,0
-4.02,0
-4.02,-0.02
-4.02,0
-4.02,0.02
-4.02,0
-4.02,0
-4.02,-0.02
-4.02,0
-4.02,0
-4.02,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4.01,0
-4,0
-4,0
-4,0
-4,0
-4,0
-4,-0.02
-4,0
-4,0.02
-4,-0.02
-4,0
-3.99,0
-3.99,0
-3.99,0
-3.99,0
-3.99,0
-3.99,0
-3.99,0.02
-3.99,0
-3.99,0
-3.99,0
-3.98,0
-3.98,-0.02
-3.98,0
-3.98,0
-3.98,0
-3.98,0
-3.98,0.02
-3.98,0
-3.98,0
-3.98,0
-3.97,0
-3.97,0.02
-3.97,0
-3.97,0
-3.97,0
-3.97,0
-3.97,0
-3.97,-0.02
-3.97,0
-3.97,-0.02
-3.96,0
-3.96,0
-3.96,0
-3.96,0
-3.96,0
-3.96,0
-3.96,0.04
-3.96,0
-3.96,0
-3.96,0
-3.95,0
-3.95,0
-3.95,0
-3.95,-0.02
-3.95,0
-3.95,0.02
-3.95,-0.02
-3.95,0
-3.95,0
-3.95,-0.02
-3.94,0
-3.94,0.02
-3.94,0
-3.94,0
-3.94,-0.02
-3.94,0
-3.94,-0.02
-3.94,0
-3.94,0
-3.94,-0.02
-3.93,0
-3.93,0
-3.93,0
-3.93,0
-3.93,0
-3.93,-0.02
-3.93,0
-3.93,0.02
-3.93,0
-3.93,0.02
-3.92,0
